Item,Spend Category,Exiobase Spend Category,Item Classification,Item Category 1,Item Category 2
"Lamb, rib chop, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, rib chop, grilled/pan-fried","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, cutlet, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb cutlet, grilled","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, shoulder, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, shoulder, lean, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, shoulder, lean, roasted/baked","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, shoulder, roasted/baked","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, leg, braised","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, leg, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, leg, grilled/pan-fried","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, leg, roasted/baked","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, saddle, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, saddle, grilled/pan-fried","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, saddle, lean, roasted/baked","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Garlic, powder, dried","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Flour, meal and powder of fruit and nuts"
"Garlic, fresh","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
Pure alcohol,"Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Spirits and distilled alcoholic beverages, n.e.s. "
Mashed potatoes w fresh tome cheese,"Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Potatoes, fresh or chilled (not including sweet potatoes) "
"Almond, (with peel)","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,Almonds
"Almond, grilled, salted","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,Almonds
"Almond, peeled, unpeeled or blanched","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,Almonds
"Amaranth, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Cereals and grains,"Cereals, unmilled, n.e.s. "
Maize/corn starch,"Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Cereals and grains,Maize (corn) flour
"Pineapple, in pineapple juice and syrup, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Pineapples, prepared or preserved"
"Pineapple, in pineapple juice and syrup, canned, not drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Pineapples, prepared or preserved"
"Pineapple, in light syrup, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Pineapples, prepared or preserved"
"Pineapple, in light syrup, canned, not drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Pineapples, prepared or preserved"
"Pineapple, pulp, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Pineapples, fresh or dried"
"Anchovy, in salt (semi-preserved)","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,Anchovies
"Common anchovy, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,Anchovies
"Common anchovy, marinated","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,Anchovies
"Anchovy, fillets, in oil, semi-preserved, drained","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,Anchovies
"Anchovy, fillets, rolled with capers, semi-preserved, drained","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,Anchovies
Chitterling sausage,"Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
Chitterling sausage from Guéméné,"Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
Chitterling sausage from Vire,"Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
"Chitterling sausage, pan-reheated","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
"Chitterling sausage from Troyes, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
"Chitterling sausage, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
"Chitterling sausage, sautéed/pan-fried","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
"Dill, fresh","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Sea lettuce (Enteromorpha sp.), dried or dehydrated","Agriculture, hunting, forestry and fishing",Crops nec,Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
Wine-based aperitif,"Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,Vermouth and other wines of fresh grapes flavoured with plants or aromatic substances
"Peanut, boiled/cooked in water, w salt","Food, beverages and tobacco","Vegetables, fruit, nuts",Food and live animals,Fruit,"Edible nuts (excluding mixtures), fresh or dried, n.e.s."
"Artichoke, canned, drained","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Artichoke, heart, canned, drained","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Artichoke, globe, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Artichoke, globe, cooked","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Artichoke base, canned, drained","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Artichoke base, frozen, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables and mixtures of vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen "
"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated","Agriculture, hunting, forestry and fishing",Crops nec,Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Asiago cheese, from cow's milk","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Processed cheese, not grated or powdered"
"Asparagus, canned, drained","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
"Asparagus, white or purple, peeled, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
"Asparagus, boiled/cooked in water","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
"Asparagus, peeled, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
"Asparagus, green, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
"Eggplant, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Eggplant, cooked","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,Other vegetables and mixtures of vegetables
"Avocado, pulp, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Avocados, guavas, mangoes and mangosteens, fresh or dried"
"Oat, raw","Agriculture, hunting, forestry and fishing",Cereals grains nec,Food and live animals,Cereals and grains,"Oats, unmilled"
"Rum baba, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Bagel,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Baklava (oriental pastry with almonds and syrup),"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Bamboo shoots, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Bamboo shoots, canned, drained","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Plantain banana, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Bananas (including plantains), fresh or dried "
"Plantain banana, cooked","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Bananas (including plantains), fresh or dried "
"Banana, pulp, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Bananas (including plantains), fresh or dried "
"Banana, pulp, dried","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Bananas (including plantains), fresh or dried "
"Mediterranean bass, raw, farmed","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, fresh or chilled"
"Mediterranean bass, raw, wild","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, fresh or chilled"
"European bass, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, fresh or chilled"
"European bass, roasted/baked","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, fresh or chilled"
"Atlantic bass, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, fresh or chilled"
"American bass, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, fresh or chilled"
"Coconut bar, with chocolate coating","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit bar filled with fruits, reduced fat","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Cereal bar with fruit, fortified with vitamins and minerals","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Cereal bar with chocolate, fortified with vitamins and minerals","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Cereal bar with almonds or hazelnuts,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Cereal bar w fruit,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Chocolate cereal bar,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Toblerone milk cholcolate bar w nougat,"Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
Chocolate bar with dried fruits,"Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
Chocolate bar with biscuit,"Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
Coated chocolate bar without biscuit,"Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
"Ice cream, chocolate coated","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Chocolate snack bar, dairy filling","Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
"Chocolate snack bar, dairy filling with sponge cake","Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
"Chocolate confectionery or bar, with dairy filling","Food, beverages and tobacco",Food products nec,Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
cream sauce for pizza base,"Food, beverages and tobacco",Food products nec,Food and live animals,Other edible products,Other sauces and preparations therefor; mixed condiments and mixed seasonings
Tomato sauce for pizza base,"Food, beverages and tobacco",Food products nec,Food and live animals,Other edible products,Tomato ketchup and other tomato sauces
"Basil, fresh","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
"Basil, dried","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Beaufort cheese, from cow's milk","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Other cheese 
Doughnut filled with jam,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Shrimp fritters,"Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Crustaceans, prepared or preserved, n.e.s."
Vegetable fritters,"Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Meat, poultry or fish fritters, home-made","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,Other prepared or preserved meat or meat offal (including preparations of blood of any animal) 
"Doughnut filled with fruits, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Doughnut filled with chocolate, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Doughnut, plain","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Swiss chard, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Lettuce and chicory (including endive), fresh or chilled"
"Swiss chard, cooked","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Beetroot, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled"
"Beetroot, cooked","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Butter, light, 39-41% fat, unsalted","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
"Butter, 60-62% fat, light, lightly salted","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
"Butter, 60-62% fat, light, unsalted","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
"Butter, 80% fat, lightly salted","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
"Butter, 80% fat, salted","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
"Butter, 82% fat, unsalted","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
"Butter, 82% fat, unsalted, easy-to-spread","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
Peanut butter or peanut paste,"Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Nuts, groundnuts and other seeds, n.e.s.; prepared or preserved"
Cocoa butter,"Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Coffee tea cocoa and spices,"Cocoa butter, fat and oil"
Sodium bicarbonate,Chemicals and chemical products,Chemicals nec,Chemicals and related products,Inorganic chemicals,
"Beer, regular (4-5° alcohol)","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Beer, ""specialty"", from abbey or regional (varying alcohol content)","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Beer, special (5-6° alcohol)","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Beer, dark","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Beer, low alcohol-content (3° alcohol)","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Beer, strong (>8° alcohol)","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Beer, alcohol-free (<1,2° alcohol)","Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
"Rusk, w eggs","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
Rusk,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Rusk, wholemeal or rich in fibre","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Rusk, multigrain","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Rusk, unsalted","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Salty snacks, made from potato","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, frozen "
"Salty snacks, puff pastry","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Puffed salty snacks, made from maize/corn, with peanuts","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Puffed salty snacks, made from maize/corn, without peanuts","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Puffed salty snacks, made from potato","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Puffed salty snacks, made from potato and soy","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Salty snacks, crackers, garnished or filled with cheese","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Salty snacks, crackers, plain","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Salty snacks, crackers, reduced fat","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Salty snacks, mini pretzels or sticks","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Breakfast biscuit (cookie) with cereals, fortified with vitamins and chemical elements","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Savoy-style sponge cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Soft cake, filled with fruit paste or fruit puree and sugar icing coated","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Pastry biscuit with meringue,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Biscuit for baby,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit sponge cake with fruits covering, pre-packed","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Biscuit (cookie) vitamins content guaranteed,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Biscuit (cookie) vitamins and chemical elements content guaranteed,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit shortbread, with butter","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit shortbread, with butter and chocolate","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie), with milk","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie) with fruits, reduced salt","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie), sponge fingers or Lady fingers","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie), chocolate covering","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie), covering with a chocolate bar","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie), with chocolate, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit sponge cake, with chocolate, pre-packed","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit shortbread, with chocolate, pre-packed","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (small tart), with chocolate, pre-packed","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Crispy biscuit (cookie), without chocolate, reduced fat","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Crispy biscuit (cookie), with chocolate, reduced fat","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Biscuit puff pastry,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Biscuit (cookie) filled with fruit paste or fruit puree,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie) filled with fruits, reduced fat","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Biscuit (cookie) with nuts (no chocolate or lightly chocolate-flavoured),"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (small tart), with fruit covering","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
"Biscuit (cookie), plain","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
